time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
8,256,0.0,0.9999239999999999,1,0,1.0,,,,,
8,256,0.0,,2,0,1.0,,,,,
8,256,0.0,,3,0,1.0,,,,,
16,325,0.0,0.9998479999999998,4,0,1.0,,,,,
136,353,-6.458,0.9987079999999997,5,0,4.2,5,0.0001,0.41964843273162844,,
152,424,-5.511666666666667,0.9985559999999997,6,0,6.666666666666667,,,,,
872,613,-12.092500000000001,0.9917160000000002,7,1,29.875,120,0.0001,0.34282957315444945,,
872,613,-12.092500000000001,,8,1,29.875,,,,,
976,648,-12.650000000000002,0.9907280000000003,9,1,48.1,135,0.0001,0.28042641282081604,,
976,648,-12.650000000000002,,10,1,48.1,,,,,
1024,,,0.9903479999999999,,,,140,0.0001,0.1868053823709488,45.2,-1.7500000000000007
1160,917,-10.871818181818183,0.9889799999999995,11,1,56.90909090909091,165,0.0001,0.26931041181087495,,
1280,952,-9.180000000000001,0.9878400000000005,12,1,65.5,180,0.0001,0.2723495841026306,,
1328,971,-9.590000000000002,0.987384,13,1,73.07692307692308,190,0.0001,0.2435323715209961,,
1408,1001,-9.046428571428574,0.9866240000000004,14,1,79.21428571428571,200,0.0001,0.2461589068174362,,
1536,1043,-10.05066666666667,0.9854080000000002,15,1,79.46666666666667,220,0.0001,0.27423061728477477,,
1896,1152,-10.664375,0.981988,16,1,81.6875,280,0.0001,0.23614343106746674,,
1968,1182,-11.511176470588236,0.9813040000000003,17,1,81.94117647058823,290,0.0001,0.24277462363243102,,
2048,,,0.9806199999999996,,,,300,0.0001,0.2589904427528381,171.0,-11.379999999999999
2072,1335,-10.754444444444443,0.9803160000000004,18,1,85.72222222222223,305,0.0001,0.2655970960855484,,
2160,1376,-10.937894736842106,0.9794799999999996,19,1,86.15789473684211,320,0.0001,0.2582596868276596,,
