time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate
2048,447.0,-13.5,,,,,,,,,,,,,,,
2048,,,6,126.0,293,1,-23.89,,,,,,,,,,
4096,488.2,-12.617999999999999,,,,,,-0.06041738887288375,0.2,0.6445461511611938,-1.8942274767905474,0.09138941764831543,0.036424153,10,3.516970927640796,0.30283203125,0.0003
4096,,,5,170.25,687,2,-12.135625,,,,,,,,,,
6144,397.6,-11.112,,,,,,-0.05793376735382481,0.2,0.8034541010856628,-1.7518537260591984,-0.03583240509033203,0.031207604,20,3.6290692701935767,0.30791015625,0.0003
6144,,,5,169.0344827586207,1040,3,-10.589655172413792,,,,,,,,,,
8192,373.2,-15.23,,,,,,-0.05504549082834274,0.2,2.0238497257232666,-1.7671642065048219,0.10073846578598022,0.028882831,30,5.341407823562622,0.2810546875,0.0003
8192,,,6,170.86486486486487,1347,4,-11.23891891891892,,,,,,,,,,
10240,577.6,-13.051999999999998,,,,,,-0.051680168628809045,0.2,0.7378935217857361,-1.7282905161380768,0.13732916116714478,0.039373487,40,3.1343919416889547,0.29755859375,0.0003
10240,,,5,177.19148936170214,1726,5,-9.78,,,,,,,,,,
12288,502.4,-11.378,,,,,,-0.05806195115146693,0.2,1.0332911014556885,-1.6968327712267637,0.2073758840560913,0.038064398,50,2.627697253599763,0.305029296875,0.0003
12288,,,5,181.94915254237287,2225,6,-10.048644067796612,,,,,,,,,,
14336,406.4,-15.222,,,,,,-0.05790007718023844,0.2,3.0563175678253174,-1.6421328078955413,0.2251065969467163,0.029259132,60,3.9976921059191226,0.309912109375,0.0003
14336,,,5,185.5,2555,7,-10.163970588235294,,,,,,,,,,
16384,553.4,-6.485999999999999,,,,,,-0.055483376838674305,0.2,1.7240591049194336,-1.747355518490076,0.08145135641098022,0.03576175,70,3.6335564237087965,0.2990234375,0.0003
16384,,,5,187.39240506329114,2934,8,-10.235822784810125,,,,,,,,,,
18432,431.2,-17.396,,,,,,-0.05775483803881798,0.2,0.6704570651054382,-1.6472701713442803,0.02571648359298706,0.034282476,80,3.3380311327055097,0.31201171875,0.0003
18432,,,5,186.34444444444443,3278,9,-10.871,,,,,,,,,,
20480,550.2,-17.520000000000003,,,,,,-0.05484835679962998,0.2,0.5024505853652954,-1.686483659595251,-0.0446697473526001,0.0356247,90,3.5584361851215363,0.299072265625,0.0003
20480,,,5,188.72448979591837,3612,10,-11.089489795918364,,,,,,,,,,
22528,433.4,-13.9,,,,,,-0.060774688466335644,0.2,0.49542123079299927,-1.668739591538906,-0.021172165870666504,0.04090589,100,2.932044970802963,0.326953125,0.0003
22528,,,5,192.84,3981,11,-10.816799999999999,,,,,,,,,,
24576,418.0,-13.088000000000003,,,,,,-0.05627023799461313,0.2,0.9371957182884216,-1.7019255090504886,0.10236817598342896,0.03129448,110,4.59885756932199,0.302490234375,0.0003
24576,,,5,192.91,4332,12,-11.312499999999998,,,,,,,,,,
26624,576.0,-7.691999999999998,,,,,,-0.05772003594029229,0.2,0.8173515796661377,-1.6972715139389039,0.20731908082962036,0.033000834,120,3.893659642338753,0.301416015625,0.0003
26624,,,5,192.83,4734,13,-10.3961,,,,,,,,,,
28672,484.6,-15.841999999999999,,,,,,-0.059760439276578835,0.2,1.8880912065505981,-1.6586046230047942,0.1424378752708435,0.038398527,130,3.5398575507104395,0.319140625,0.0003
28672,,,5,190.39,5055,14,-10.6159,,,,,,,,,,
30720,509.6,-5.066,,,,,,-0.0586685570247937,0.2,0.7473577857017517,-1.6008720342069864,-0.0774003267288208,0.04162883,140,3.054716282710433,0.33271484375,0.0003
30720,,,5,190.68,5429,15,-10.1934,,,,,,,,,,
32768,490.8,-10.578,,,,,,-0.05276267732260749,0.2,0.8098865747451782,-1.5870575428009033,0.12600523233413696,0.036897644,150,2.724262230284512,0.29189453125,0.0003
32768,,,5,188.19,5782,16,-10.6588,,,,,,,,,,
34816,473.6,-1.654,,,,,,-0.05702341867436189,0.2,1.0400488376617432,-1.5880740098655224,0.017547428607940674,0.03987216,160,3.213136954791844,0.326904296875,0.0003
34816,,,5,189.37,6136,17,-10.3576,,,,,,,,,,
36864,532.2,-1.6280000000000006,,,,,,-0.053698053226980846,0.2,1.999876618385315,-1.5451694875955582,0.004939138889312744,0.033170987,170,3.9118141897022722,0.30537109375,0.0003
36864,,,5,191.82,6496,18,-9.544500000000001,,,,,,,,,,
38912,428.4,-7.040000000000001,,,,,,-0.05394973150250735,0.2,0.9011420011520386,-1.5065789848566056,-0.2279146909713745,0.04017677,180,2.556465271487832,0.2984375,0.0003
38912,,,5,195.18,6847,19,-8.3995,,,,,,,,,,
40960,491.6,-4.996,,,,,,-0.060331324113940356,0.2,1.2042295932769775,-1.5324588652700186,-0.06138408184051514,0.033990175,190,3.663127860426903,0.317138671875,0.0003
40960,,,5,194.62,7201,20,-8.2982,,,,,,,,,,
43008,520.4,-4.606,,,,,,-0.0532946525956504,0.2,1.0566898584365845,-1.448580738157034,0.21571022272109985,0.031551234,200,3.7646818542853,0.271337890625,0.0003
43008,,,5,197.9,7564,21,-8.065100000000001,,,,,,,,,,
45056,417.8,-8.91,,,,,,-0.05762422764892108,0.2,0.6688550710678101,-1.444459641724825,0.07326781749725342,0.037146024,210,2.4077107636258006,0.3068359375,0.0003
45056,,,5,201.89,7882,22,-7.1874,,,,,,,,,,
47104,499.0,-12.831999999999999,,,,,,-0.05420576452597743,0.2,0.8855589032173157,-1.4714996598660945,0.028645336627960205,0.03629533,220,3.316954918205738,0.29033203125,0.0003
47104,,,5,205.59,8239,23,-6.7251,,,,,,,,,,
49152,575.4,-4.358,,,,,,-0.053017240614281036,0.2,1.2735732793807983,-1.419016969203949,0.08496928215026855,0.036528237,230,3.199684471450746,0.282080078125,0.0003
49152,,,5,212.37,8580,24,-6.208000000000001,,,,,,,,,,
51200,515.8,-9.562,,,,,,-0.05451280135457637,0.2,0.8766500949859619,-1.3443602439016105,-0.14366447925567627,0.033488903,240,3.513178167492151,0.282080078125,0.0003
51200,,,5,215.82,8934,25,-5.1262,,,,,,,,,,
53248,565.0,-6.68,,,,,,-0.056294018711196256,0.2,0.46999505162239075,-1.410505048930645,0.18552851676940918,0.0401639,250,2.7622578836977483,0.3138671875,0.0003
53248,,,5,216.25,9276,26,-4.8668000000000005,,,,,,,,,,
55296,481.6,-5.845999999999999,,,,,,-0.04837657037132885,0.2,0.20327672362327576,-1.342110561579466,-0.01981353759765625,0.045719013,260,2.5030460812151434,0.300830078125,0.0003
55296,,,5,220.52,9633,27,-4.0992,,,,,,,,,,
